step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,221237140_stopped,221237140_accumulated_waiting_time,221237140_average_speed,221237260_stopped,221237260_accumulated_waiting_time,221237260_average_speed,221237272_stopped,221237272_accumulated_waiting_time,221237272_average_speed,221239539_stopped,221239539_accumulated_waiting_time,221239539_average_speed,221241076_stopped,221241076_accumulated_waiting_time,221241076_average_speed,221251086_stopped,221251086_accumulated_waiting_time,221251086_average_speed,221261813_stopped,221261813_accumulated_waiting_time,221261813_average_speed,cluster_221237147_7811951337_7811951340_stopped,cluster_221237147_7811951337_7811951340_accumulated_waiting_time,cluster_221237147_7811951337_7811951340_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
130.0,2,144.0,72.0,0.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,2,152.0,0.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,2,152.0
135.0,2,154.0,77.0,0.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,2,162.0,0.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,2,162.0
140.0,2,164.0,82.0,0.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,2,172.0,0.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,2,172.0
145.0,2,174.0,58.0,1.7371065260216219,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,2,182.0,0.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,2,182.0
150.0,2,184.0,61.333333333333336,3.5721419912136714,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,2,192.0,0.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,2,192.0
155.0,2,194.0,64.66666666666667,0.7477885013526214,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,2,202.0,0.030679544780131254,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,2,202.0
160.0,3,208.0,69.33333333333333,7.521276376517194e-05,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,3,216.0,3.085756667556623e-06,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,3,216.0
165.0,3,223.0,74.33333333333333,0.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,3,231.0,0.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,3,231.0
170.0,3,238.0,79.33333333333333,0.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,3,246.0,0.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,3,246.0
175.0,3,253.0,84.33333333333333,0.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,3,261.0,0.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,3,261.0
180.0,3,268.0,89.33333333333333,0.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,3,276.0,0.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,3,276.0
185.0,3,283.0,94.33333333333333,0.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,3,291.0,0.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,3,291.0
190.0,3,298.0,99.33333333333333,0.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,3,306.0,0.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,3,306.0
195.0,3,313.0,104.33333333333333,0.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,3,321.0,0.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,3,321.0
200.0,3,328.0,109.33333333333333,0.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,3,336.0,0.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,3,336.0
205.0,3,343.0,114.33333333333333,0.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,3,351.0,0.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,3,351.0
210.0,3,358.0,119.33333333333333,0.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,3,366.0,0.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,3,366.0
215.0,3,373.0,93.25,2.6242254999999997,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,3,381.0,0.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,3,381.0
220.0,3,388.0,97.0,2.302511278651479,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,3,396.0,0.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,3,396.0
225.0,3,403.0,100.75,2.2700892351732875,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,3,411.0,0.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,3,411.0
230.0,3,418.0,104.5,2.6672411248384345,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,3,426.0,0.12784945617549248,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,3,426.0
235.0,3,433.0,108.25,5.641754900751946,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,3,441.0,0.0,0,0.0,1.0,0,0.0,0.8652121822247831,0,0.0,1.0,3,441.0
240.0,3,448.0,112.0,6.467030240396039,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,3,456.0,0.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,3,456.0
245.0,3,463.0,154.33333333333334,0.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,3,471.0,0.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,3,471.0
250.0,3,478.0,159.33333333333334,0.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,3,486.0,0.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,3,486.0
255.0,3,493.0,164.33333333333334,0.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,3,501.0,0.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,3,501.0
260.0,3,508.0,169.33333333333334,0.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,3,516.0,0.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,3,516.0
265.0,3,523.0,174.33333333333334,0.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,3,531.0,0.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,3,531.0
270.0,3,538.0,179.33333333333334,0.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,3,546.0,0.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,3,546.0
275.0,3,553.0,184.33333333333334,0.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,3,561.0,0.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,3,561.0
280.0,3,568.0,189.33333333333334,0.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,3,576.0,0.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,3,576.0
285.0,3,583.0,194.33333333333334,0.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,3,591.0,0.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,3,591.0
290.0,3,598.0,149.5,2.8717391461023705,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,3,606.0,0.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,3,606.0
295.0,3,613.0,153.25,1.7451638759236041,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,3,621.0,0.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,3,621.0
300.0,3,628.0,157.0,1.420519078401134,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,3,636.0,0.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,3,636.0
305.0,3,643.0,160.75,3.809926927817717,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,3,651.0,0.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,3,651.0
310.0,3,658.0,164.5,1.8112646230672,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,3,666.0,0.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,3,666.0
315.0,3,673.0,168.25,4.132409949874216,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,3,681.0,0.0,0,0.0,0.5306040941924282,0,0.0,1.0,0,0.0,1.0,3,681.0
320.0,4,690.0,172.5,0.002787395099653285,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,3,696.0,0.0,1,2.0,0.00035790332274583816,0,0.0,1.0,0,0.0,1.0,4,698.0
325.0,4,710.0,177.5,0.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,3,711.0,0.0,1,7.0,0.0,0,0.0,1.0,0,0.0,1.0,4,718.0
330.0,4,730.0,182.5,0.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,3,726.0,0.0,1,12.0,0.0,0,0.0,1.0,0,0.0,1.0,4,738.0
335.0,4,750.0,187.5,0.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,3,741.0,0.0,1,17.0,0.0,0,0.0,1.0,0,0.0,1.0,4,758.0
340.0,4,770.0,192.5,0.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,3,756.0,0.0,1,22.0,0.0,0,0.0,1.0,0,0.0,1.0,4,778.0
345.0,4,790.0,197.5,0.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,3,771.0,0.0,1,27.0,0.0,0,0.0,1.0,0,0.0,1.0,4,798.0
